Title,Year,Casey,Dana,Brett,Brian,Dave,Jeff,Devin,Mark,RyRy,Eric,Hans,Susan,Jason,Julie,Brady,Lucy,Bryan,Owen
Burn After Reading,2008,.,.,.,5,.,.,7.5,.,.,6.5,.,.,.,.,7,.,.,.
The Hangover,2009,9.5,9,9.5,9,9,8,8.5,8.5,9,7,8,.,.,.,7.5,.,8,.
The Road,2009,7.5,7,.,.,.,7,5.5,.,.,8,8.5,.,.,.,7,.,.,.
The Way Back,2010,.,.,.,.,.,7.5,.,.,.,.,.,.,.,.,8.5,.,.,.
Drive,2011,9,6.5,8.5,8.5,9.5,8,9,8.5,.,9.75,8,.,6.5,.,9,.,7,.
Argo,2012,5,6,7.5,7.5,8,6,7,7.5,7,7,8,.,.,.,.,.,7,.
Django Unchained,2012,9.5,8,7.5,7.5,8,7.5,8.5,8.5,8.5,7.75,8,.,9,.,8.5,.,9,.
Pitch Perfect,2012,7,.,8,.,6,.,8.5,8,8,.,8,.,.,.,.,7.5,7,.
The Hobbit: An Unexpected Journey,2012,7,.,5.5,.,6,7,7.5,7,.,.,6.5,.,.,.,7,.,.,.
Zero Dark Thirty,2012,9,8.5,9,8.5,8.5,8.5,8,9,.,.,.,.,.,.,.,.,9,.
12 Years a Slave,2013,6,7.5,7,6,8,.,.,.,6,.,.,.,7,.,.,.,9,.
42,2013,7,7,.,.,5,7.5,.,.,.,.,7.5,.,.,.,.,.,.,.
All Is Lost,2013,6,6,7,6.5,.,7.5,5.5,.,.,.,.,.,.,.,.,.,.,.
Frozen,2013,6,8,6.5,8,.,7,6,7,8,7,7,.,.,.,7,8,.,6
Fruitvale Station,2013,8,7,8.5,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.
Gravity,2013,6.5,6,9,8.5,8,8.5,.,7,5,6.75,8,.,8,.,7,.,9,.
Her,2013,6.5,6.5,7.5,7.5,8,7,7,8,.,8,.,.,7.5,.,8,.,.,.
Secret Life of Walter Mitty,2013,7.5,8,8,.,8,9,8,.,.,8.25,8,.,8,.,8.5,.,7,.
Star Trek: Into Darkness,2013,6.5,.,4,6.5,.,6,4,6,7,.,6,.,.,.,6.5,.,.,.
The Hobbit: Desolation of Smaug,2013,7,.,7,.,6,7,.,7.5,.,7.5,6.5,.,.,.,7.5,.,.,.
The Way Way Back,2013,9,8,.,6,8,7.5,7,7,7,6.5,.,.,.,.,.,.,.,.
The Wolf of Wall Street,2013,7,.,8.5,9,8,7.5,8,7,.,7.5,7,.,.,.,8.5,.,8,.
American Sniper,2014,6,7,5.5,5,5,8,6,8,.,.,.,.,.,.,.,.,.,.
An Honest Liar,2014,7,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Birdman,2014,6.5,5,7,8,9,.,8,.,.,.,.,6,.,.,8,.,8,.
Boyhood,2014,7.5,8,8,8,8.5,.,8,7,.,6.5,.,8,.,.,.,.,.,.
Chef,2014,8.5,8.5,.,8,.,.,7,.,.,.,.,8,.,.,.,.,.,.
